userId,country,region
21102,Australia,Queensland
21284,United States,California
21366,Philippines,Metro Manila
21540,United States,Maryland
21849,United States,New York
21882,India,Uttar Pradesh
21891,Brazil,State of São Paulo
21963,Brazil,State of Paraná
22007,United States,NULL
22152,Italy,Campania
22179,India,Karnataka
22578,Netherlands,North Holland
22649,United States,California
22962,Philippines,Central Visayas
23000,United States,Utah
23071,United States,California
23111,Australia,Victoria
23356,France,Grand Est
23505,Brazil,State of São Paulo
23513,Ukraine,NULL
23583,Singapore,NULL
23631,Slovakia,NULL
23635,Netherlands,North Brabant
23702,Ukraine,Rivne Oblast
23721,Turkey,Istanbul
23825,India,Karnataka
23827,Ireland,County Dublin
24028,India,Telangana
24119,United States,Maryland
24142,United States,Washington
24157,Romania,Bucharest
24202,United States,NULL
24208,United Kingdom,England
24265,United States,California
24266,Brazil,State of Minas Gerais
24309,Portugal,Lisbon
24323,United States,California
24349,United States,NULL
24520,Germany,NULL
24643,Norway,Oslo
24760,United States,Arizona
24947,Chile,Arica y Parinacota
25037,Estonia,Harju County
25112,United States,California
25258,Japan,Tokyo
25283,Netherlands,North Holland
25444,United Kingdom,England
25490,United States,NULL
26172,Peru,Callao Region
26200,United States,Connecticut
26267,India,Karnataka
26343,Poland,Masovian Voivodeship
26681,Italy,Lazio
26767,United States,Florida
26782,Poland,Masovian Voivodeship
27103,Mexico,Mexico City
27177,Mexico,Puebla
27242,United States,NULL
27251,Norway,Viken
27292,Syria,Idlib Governorate
27377,United States,Missouri
27401,United States,Michigan
27781,Australia,Victoria
27805,Russia,Novosibirsk Oblast
27833,Australia,Victoria
28038,Poland,NULL
28271,United Kingdom,England
28293,India,NULL
28484,Japan,Kanagawa
28963,Australia,New South Wales
28980,Canada,Ontario
29077,United States,Colorado
29289,United States,New York
29346,United States,New York
29379,Russia,NULL
29453,India,Tamil Nadu
29490,Germany,Bavaria
29522,United Arab Emirates,Dubai
29641,Australia,New South Wales
29756,United States,New York
29766,Brazil,Federal District
29839,United States,Massachusetts
69193,Poland,Silesian Voivodeship
69252,United States,NULL
69253,United States,Florida
69424,Portugal,Lisbon
69562,Germany,Lower Saxony
69592,Singapore,NULL
69645,India,NULL
69662,United States,NULL
69748,United States,Oregon
69766,Spain,Basque Country
69790,United Kingdom,England
69813,United States,NULL
69909,Vietnam,Hanoi
69984,Israel,NULL
69990,United Kingdom,England
70125,Brazil,NULL
70133,United Arab Emirates,Dubai
70179,France,NULL
70259,United States,NULL
70318,India,NULL
70322,Pakistan,NULL
70349,France,NULL
70481,Kazakhstan,NULL
70528,United States,Idaho
70574,United States,California
70697,Italy,Tuscany
70833,India,NULL
70859,China,Shaanxi
70866,Russia,NULL
71033,South Korea,Seoul
71041,Indonesia,NULL
71342,United States,NULL
71388,India,Tamil Nadu
71588,Italy,Lazio
71606,United Kingdom,NULL
71674,Argentina,NULL
71765,United States,Missouri
71779,Canada,Ontario
71783,Russia,NULL
71834,Spain,Catalonia
71969,United Kingdom,England
72013,India,NULL
72067,United States,NULL
72097,United Kingdom,Scotland
72177,Germany,Bavaria
72335,China,Zhejiang
72342,United Kingdom,NULL
72410,Sweden,NULL
72447,Portugal,NULL
72586,Greece,NULL
72642,United Kingdom,NULL
72674,Netherlands,North Holland
72725,United States,NULL
72758,United States,NULL
72910,United States,Massachusetts
73012,Netherlands,North Holland
73138,United States,NULL
73235,United States,Massachusetts
73274,Poland,Masovian Voivodeship
73532,United States,NULL
73546,United States,NULL
73556,Canada,NULL
73603,United States,California
73703,Switzerland,Zurich
73832,United States,California
73934,Belgium,Flanders
73968,United States,District of Columbia
74076,Singapore,NULL
74128,United States,New York
74166,Australia,NULL
74177,United States,NULL
74276,Greece,NULL
74388,United States,Massachusetts
74805,United States,NULL
74834,United States,Tennessee
74891,United States,NULL
75219,United States,NULL
75703,Netherlands,North Holland
75730,United States,NULL
75780,United States,NULL
75837,United Kingdom,NULL
75871,United States,NULL
75873,United States,Washington
75960,Philippines,NULL
75968,Slovenia,Ljubljana
75976,France,NULL
76065,United States,California
76185,Austria,NULL
76238,United States,Minnesota
76355,France,Provence-Alpes-Côte d'Azur
76381,Australia,South Australia
76482,Brazil,State of São Paulo
76577,United States,NULL
76750,Canada,NULL
76894,South Africa,Gauteng
76939,Spain,Aragon
77235,Brazil,State of São Paulo
77388,New Zealand,NULL
77409,Germany,Berlin
77617,Japan,NULL
77724,Portugal,Porto District
77788,Japan,Tokyo
77826,United States,California
77920,India,Karnataka
77936,Germany,North Rhine-Westphalia
77977,United States,California
78061,United Kingdom,England
78067,France,Île-de-France
78070,United States,NULL
78103,United States,Washington
78119,United States,New York
78197,United States,NULL
78272,India,NULL
78344,India,Karnataka
78367,Canada,Quebec
78420,United States,NULL
78512,South Africa,NULL
78629,United Arab Emirates,Dubai
78753,South Korea,NULL
78905,Germany,Baden-Württemberg
79094,India,NULL
79655,United States,Colorado
79749,France,NULL
79814,United States,NULL
80046,United States,Pennsylvania
80077,India,NULL
80107,Ireland,NULL
80159,United States,Texas
80312,China,NULL
80428,India,Karnataka
29853,United States,Maryland
29930,United States,California
30038,United States,Washington
30083,United States,Illinois
30191,Netherlands,North Brabant
30335,United States,Colorado
30686,France,Île-de-France
30803,China,Shanghai
30931,Finland,Uusimaa
31049,Russia,NULL
31379,United States,California
31412,Germany,NULL
31516,Italy,Lombardy
31532,Austria,NULL
31820,India,Tamil Nadu
31961,Canada,Ontario
32143,China,Zhejiang
32658,Canada,British Columbia
32721,Germany,North Rhine-Westphalia
32750,Canada,Alberta
32815,Canada,Quebec
33218,Slovenia,NULL
33436,United States,NULL
33517,Iran,Fars Province
33543,United States,California
33546,United States,Illinois
33644,Japan,Tokyo
33874,Japan,Tokyo
33877,Taiwan,NULL
33886,United States,California
33889,Cyprus,Nicosia
33997,United Kingdom,England
34304,Israel,NULL
34534,Belgium,Flanders
34547,United States,California
34776,El Salvador,NULL
34885,China,Shanghai
35069,Japan,Tokyo
35110,Turkey,İstanbul
35127,United States,New York
35146,Singapore,NULL
35211,Germany,Berlin
35501,United States,Tennessee
35609,Mexico,Quintana Roo
35746,New Zealand,Auckland
35780,Ukraine,NULL
35830,Singapore,NULL
35894,United States,Virginia
36054,Madagascar,Antananarivo Province
36141,United States,Illinois
